Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_short_tons,Average_Employees,Labor_Hours
2019,103370,Cresent Valley Mine,Alabama,Walker,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,"Mays Mining, Inc.","113 Hollis Crump Drive, Jasper, AL 35501",,Appalachia Southern,31745,23,13424
2019,103389,Carbon Hill Mine,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Mine only,Clas Coal Company Inc.,"P.O. Box 1291, Jasper, AL 35501",,Appalachia Southern,75008,22,51750
2019,103421,Slate Creek Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Yellowhammer Energy Solutions,","P.O. Box 2705, Jasper, AL 35502",,Appalachia Southern,149716,35,83257
2019,103426,Carbon Hill Prep Plant,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Preparation Plant,Prospect Mining & Development,"218 Highway 195, Jasper, AL 35503",,Appalachia Southern,0,9,22338
2019,103444,Little Spring Creek Mine,Alabama,Walker,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc.","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,106271,32,94345
2019,103496,Dutton Hill Mine No. 2,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc.","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,112437,12,47659
2019,103516,No Business Creek Mine,Alabama,Walker,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,B & T Material Llc,"8700 Curnell Rd, Dora, AL 35062",,Appalachia Southern,11869,4,6040
2019,103522,Mccollum Mine,Alabama,Walker,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Quality Coal Company, Inc.","P.O. Box 88, Jasper, AL 35502",,Appalachia Southern,7879,4,1974
2019,103533,Shm-82,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Mega Highwall Mining Llc,"12081 Virginia Blvd, Ashland, KY 41102",,Appalachia Southern,85738,8,6146
2019,5000030,Usibelli,Alaska,Denali,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine Inc,"P.O. Box 1000, Healy, AK 99743","International Brotherhood Of Teamsters, Chauffeurs, Warehouse",Western,974702,101,189814
